Ward_Name,Ward_No,Dominant_Source,Confidence
MATIALA,136,Construction Activity,High
ROSHANPURA,137,Industrial Pollution,High
MAYUR VIHAR PHASE-I,209,Unknown,No Data
ROHINI,21,Unknown,No Data
DALLOPURA,210,Unknown,No Data
TRILOK PURI,211,Unknown,No Data
NEW ASHOK NAGAR,212,Unknown,No Data
KALYAN PURI,213,Unknown,No Data
KHICHRIPUR,214,Unknown,No Data
KONDLI,215,Unknown,No Data
GHAROLI,216,Unknown,No Data
VINOD NAGAR,217,Industrial Pollution,Medium
ASHOK VIHAR,68,Unknown,No Data
WAJIRPUR,67,Unknown,No Data
SAWAN PARK,66,Unknown,No Data
NIMRI COLONY,65,Unknown,No Data
SHAKUR PUR,64,Unknown,No Data
KOHAT ENCLAVE,63,Unknown,No Data
RAMPURA,62,Unknown,No Data
TRI NAGAR,61,Unknown,No Data
SARASWATI VIHAR,60,Unknown,No Data
RANI BAGH,59,Unknown,No Data
PASCHIM VIHAR NORTH,58,Unknown,No Data
PASCHIM VIHAR SOUTH,57,Unknown,No Data
SHALIMAR BAGH SOUTH,56,Unknown,No Data
SHALIMAR BAGH NORTH,55,Unknown,No Data
PITAMPUR NORTH,54,Unknown,No Data
PITAMPURA SOUTH,53,Unknown,No Data
NAHARPUR,52,Unknown,No Data
ROHINI EAST,51,Unknown,No Data
ROHINI CENTRAL,50,Unknown,No Data
MANGOLPURI  WEST,48,Unknown,No Data
MANGOLPURI  EAST,46,Unknown,No Data
ROHINI SOUTH,45,Unknown,No Data
QUAMMRUDDIN NAGAR,44,Industrial Pollution,High
NANGLOI EAST,43,Unknown,No Data
PERAGHARHI,42,Unknown,No Data
GURU HARKISHAN NAGAR,41,Unknown,No Data
SULTANPURI  SOUTH,40,Unknown,No Data
SULTANPURI  EAST,37,Unknown,No Data
KIRARI SULEMAN NAGAR,35,Unknown,No Data
KARALA,29,Unknown,No Data
BEGUMPUR,27,Unknown,No Data
POOTH KALAN,25,Unknown,No Data
VIJAY VIHAR,24,Unknown,No Data
GEETA COLONY,230,Unknown,No Data
KRISHNA  NAGAR,229,Unknown,No Data
PREET VIHAR,228,Unknown,No Data
I.P EXTENTION,227,Unknown,No Data
ANAND VIHAR,225,Unknown,No Data
None,None,Industrial Pollution,High
SHAKARPUR,223,Industrial Pollution,Medium
LAXMI NAGAR,222,Unknown,No Data
RITHALA,22,Unknown,No Data
MAYUR VIHAR PHASE II,219,Unknown,No Data
MANDAWALI,218,Unknown,No Data
KARAM PURA,100,Industrial Pollution,High
MAHAVIR ENCLAVE,147,Unknown,No Data
SAGARPUR,131,Traffic Emission,High
SAGARPUR WEST,132,Traffic Emission,High
MUNDAKA,30,Unknown,No Data
EAST PATEL NAGAR,95,Unknown,No Data
WEST PATEL NAGAR,94,Industrial Pollution,High
DEV NAGAR,92,Unknown,No Data
KAROL BAGH,91,Construction Activity,High
MODEL BASTI,90,Traffic Emission,High
RANA PRATAP BAGH,70,Unknown,No Data
BAKHTAWAR PUR,4,Unknown,No Data
ALIPUR,3,Unknown,No Data
SAHIBABAD DAULAT PUR,26,Unknown,No Data
BANKNER,2,Unknown,No Data
MALKAGANJ,9,Unknown,No Data
JHARODA,8,Unknown,No Data
MUKUND PUR,6,Unknown,No Data
BAWANA,28,Unknown,No Data
BHALSWA,19,Unknown,No Data
SAMAYPUR BADLI,17,Unknown,No Data
JAHANGIRPURI-I,16,Unknown,No Data
SARAI PIPAL THALA,15,Unknown,No Data
MAHIPALPUR,144,Traffic Emission,High
KAPASHERA,143,Traffic Emission,High
BIJWASAN,141,Construction Activity,Low
ADARASH  NAGAR,14,Unknown,No Data
DHIR PUR,13,Unknown,No Data
G.T.B. NAGAR,12,Unknown,No Data
TIMAR PUR,10,Unknown,No Data
RAJA GARDEN,101,Industrial Pollution,High
RAGHUBIR NAGAR,102,Unknown,No Data
RAJOURI GARDEN,105,Unknown,No Data
NANGAL RAYA,110,Traffic Emission,High
HARI NAGAR,111,Traffic Emission,High
SUBHASH NAGAR,112,Traffic Emission,High
MADHU VIHAR,148,Unknown,No Data
BUDH VIHAR,23,Unknown,No Data
NANGLOI JAT WEST,31,Unknown,No Data
NITHARI,34,Unknown,No Data
SULTANPUR MAJRA,39,Unknown,No Data
ROHINI NORTH,49,Unknown,No Data
LIBAS PUR,18,Unknown,No Data
